**********************************************
*******  Average PSA and Fourier spectrum over     5 simulations  *******
*******     Site #   1
damping:   5%
 100 samples
Mag.                               =     7.00
siteLat                            =    18.03
siteLon                            =     0.71
depth                              =     2.00
distance from fault origin to site =    18.04
azimuth from fault origin to site  =     2.25
fault Dis.(km)                     =     2.12
Hypo  Dis.(km)                     =     8.53
Input Parameters file =  M7.0_dl_dw_1.5_140b_2hyp_5trials_pulse50_1_f0_rt_parameters.out                                                         
 data format: (1x,f10.3, 1p, 1x,e11.4, 5x,e11.4, 2x,e11.4, 1x,e11.4)
   freq(Hz)     per(s) FAS(cm/sec) avgPSA(cm/s**2) avgPSV(cm/s)   avgSD(cm)        minY        maxY
     10.650      0.094  7.1599E+01      1.4975E+03   2.2379E+01  3.3443E-01
     11.418      0.088  5.4651E+01      1.5738E+03   2.1936E+01  3.0575E-01
     12.242      0.082  8.0075E+01      1.6154E+03   2.1001E+01  2.7302E-01
     13.126      0.076  7.6123E+01      1.6481E+03   1.9984E+01  2.4231E-01
     14.073      0.071  9.1530E+01      1.6417E+03   1.8566E+01  2.0997E-01
     15.088      0.066  8.2834E+01      1.6824E+03   1.7746E+01  1.8719E-01
     16.177      0.062  6.0942E+01      1.8175E+03   1.7881E+01  1.7592E-01
     17.344      0.058  7.4137E+01      1.9828E+03   1.8195E+01  1.6696E-01
     18.596      0.054  7.1050E+01      1.9587E+03   1.6764E+01  1.4347E-01
     19.938      0.050  7.2732E+01      1.9028E+03   1.5189E+01  1.2125E-01
     21.377      0.047  4.1519E+01      1.8169E+03   1.3527E+01  1.0071E-01
     22.919      0.044  6.6332E+01      1.9327E+03   1.3421E+01  9.3199E-02
     24.573      0.041  4.4033E+01      1.9370E+03   1.2545E+01  8.1255E-02
     26.346      0.038  4.6993E+01      2.1637E+03   1.3071E+01  7.8961E-02
     28.247      0.035  5.6789E+01      2.2137E+03   1.2473E+01  7.0277E-02
     30.285      0.033  4.3798E+01      2.1533E+03   1.1316E+01  5.9469E-02
     32.471      0.031  6.0918E+01      2.0669E+03   1.0131E+01  4.9656E-02
     34.814      0.029  3.9761E+01      2.1181E+03   9.6831E+00  4.4267E-02
     37.326      0.027  4.4120E+01      2.3240E+03   9.9095E+00  4.2254E-02
     40.019      0.025  4.4141E+01      2.2741E+03   9.0440E+00  3.5967E-02
     42.907      0.023  5.5609E+01      2.2614E+03   8.3881E+00  3.1114E-02
     46.003      0.022  3.2072E+01      2.1353E+03   7.3873E+00  2.5558E-02
     49.323      0.020  3.0425E+01      2.0521E+03   6.6216E+00  2.1367E-02
     52.882      0.019  3.8149E+01      2.0962E+03   6.3090E+00  1.8988E-02
     56.697      0.018  2.8733E+01      2.1231E+03   5.9598E+00  1.6730E-02
     60.789      0.016  3.1958E+01      2.0739E+03   5.4297E+00  1.4216E-02
     65.175      0.015  2.4908E+01      2.0438E+03   4.9909E+00  1.2187E-02
     69.878      0.014  2.9584E+01      1.9927E+03   4.5386E+00  1.0337E-02
     74.920      0.013  2.4347E+01      1.9575E+03   4.1585E+00  8.8339E-03
     80.326      0.012  2.2139E+01      1.8702E+03   3.7056E+00  7.3420E-03
     86.123      0.012  2.3395E+01      1.8419E+03   3.4038E+00  6.2902E-03
     92.337      0.011  1.9860E+01      1.7689E+03   3.0490E+00  5.2553E-03
     99.000      0.010  1.7740E+01      1.6621E+03   2.6720E+00  4.2956E-03
 
 
